alias,alias_normalized,canonical_country_region,ip_zone,match_note,demand_region_cn,demand_region_code,demand_rate_cny_per_kg,demand_minimum_cny,demand_review_status
Liberia 利比里亚,liberia 利比里亚,Liberia 利比里亚,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Libya (利比亚),libya (利比亚),Libya 利比亚,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Libya,libya,Libya 利比亚,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
利比亚,利比亚,Libya 利比亚,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Libya 利比亚,libya 利比亚,Libya 利比亚,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Liechtenstein (列支敦士登),liechtenstein (列支敦士登),Liechtenstein 列支敦士登,F,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Liechtenstein,liechtenstein,Liechtenstein 列支敦士登,F,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
列支敦士登,列支敦士登,Liechtenstein 列支敦士登,F,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Liechtenstein 列支敦士登,liechtenstein 列支敦士登,Liechtenstein 列支敦士登,F,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Lithuania (立陶宛),lithuania (立陶宛),Lithuania 立陶宛,F,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Lithuania,lithuania,Lithuania 立陶宛,F,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
立陶宛,立陶宛,Lithuania 立陶宛,F,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Lithuania 立陶宛,lithuania 立陶宛,Lithuania 立陶宛,F,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Luxembourg (卢森堡),luxembourg (卢森堡),Luxembourg 卢森堡,M,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Luxembourg,luxembourg,Luxembourg 卢森堡,M,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
卢森堡,卢森堡,Luxembourg 卢森堡,M,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Luxembourg 卢森堡,luxembourg 卢森堡,Luxembourg 卢森堡,M,From PDF combined label,Need Review,Need Review,,1.8,Need Review
"Macau SAR, China (中国澳门特别行政区)","macau sar, china (中国澳门特别行政区)","Macau SAR, China 中国澳门特别行政区",A,Dropdown display label,亚洲区,ASIA,0.0,1.8,OK
"Macau SAR, China","macau sar, china","Macau SAR, China 中国澳门特别行政区",A,From PDF country/region English label,亚洲区,ASIA,0.0,1.8,OK
中国澳门特别行政区,中国澳门特别行政区,"Macau SAR, China 中国澳门特别行政区",A,From PDF country/region Chinese label,亚洲区,ASIA,0.0,1.8,OK
"Macau SAR, China 中国澳门特别行政区","macau sar, china 中国澳门特别行政区","Macau SAR, China 中国澳门特别行政区",A,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Macedonia (马其顿),macedonia (马其顿),Macedonia 马其顿,H,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Macedonia,macedonia,Macedonia 马其顿,H,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
马其顿,马其顿,Macedonia 马其顿,H,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Macedonia 马其顿,macedonia 马其顿,Macedonia 马其顿,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Madagascar (马达加斯加),madagascar (马达加斯加),Madagascar 马达加斯加,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Madagascar,madagascar,Madagascar 马达加斯加,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
马达加斯加,马达加斯加,Madagascar 马达加斯加,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Madagascar 马达加斯加,madagascar 马达加斯加,Madagascar 马达加斯加,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Malawi (马拉维),malawi (马拉维),Malawi 马拉维,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Malawi,malawi,Malawi 马拉维,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
马拉维,马拉维,Malawi 马拉维,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Malawi 马拉维,malawi 马拉维,Malawi 马拉维,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Malaysia (马来西亚),malaysia (马来西亚),Malaysia 马来西亚,Q,Dropdown display label,亚洲区,ASIA,0.0,1.8,OK
Malaysia,malaysia,Malaysia 马来西亚,Q,From PDF country/region English label,亚洲区,ASIA,0.0,1.8,OK
马来西亚,马来西亚,Malaysia 马来西亚,Q,From PDF country/region Chinese label,亚洲区,ASIA,0.0,1.8,OK
Malaysia 马来西亚,malaysia 马来西亚,Malaysia 马来西亚,Q,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Maldives (马尔代夫),maldives (马尔代夫),Maldives 马尔代夫,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Maldives,maldives,Maldives 马尔代夫,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
马尔代夫,马尔代夫,Maldives 马尔代夫,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Maldives 马尔代夫,maldives 马尔代夫,Maldives 马尔代夫,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Mali (马里),mali (马里),Mali 马里,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Mali,mali,Mali 马里,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
马里,马里,Mali 马里,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Mali 马里,mali 马里,Mali 马里,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Malta (马耳他),malta (马耳他),Malta 马耳他,F,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Malta,malta,Malta 马耳他,F,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
马耳他,马耳他,Malta 马耳他,F,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Malta 马耳他,malta 马耳他,Malta 马耳他,F,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Marshall Islands (马绍尔群岛),marshall islands (马绍尔群岛),Marshall Islands 马绍尔群岛,G,Dropdown display label,亚洲区,ASIA,0.0,1.8,OK
Marshall Islands,marshall islands,Marshall Islands 马绍尔群岛,G,From PDF country/region English label,亚洲区,ASIA,0.0,1.8,OK
马绍尔群岛,马绍尔群岛,Marshall Islands 马绍尔群岛,G,From PDF country/region Chinese label,亚洲区,ASIA,0.0,1.8,OK
Marshall Islands 马绍尔群岛,marshall islands 马绍尔群岛,Marshall Islands 马绍尔群岛,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Martinique (马提尼克),martinique (马提尼克),Martinique 马提尼克,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Martinique,martinique,Martinique 马提尼克,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
马提尼克,马提尼克,Martinique 马提尼克,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Martinique 马提尼克,martinique 马提尼克,Martinique 马提尼克,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Mauritania (毛里塔尼亚),mauritania (毛里塔尼亚),Mauritania 毛里塔尼亚,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Mauritania,mauritania,Mauritania 毛里塔尼亚,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
毛里塔尼亚,毛里塔尼亚,Mauritania 毛里塔尼亚,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Mauritania 毛里塔尼亚,mauritania 毛里塔尼亚,Mauritania 毛里塔尼亚,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Mauritius (毛里求斯),mauritius (毛里求斯),Mauritius 毛里求斯,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Mauritius,mauritius,Mauritius 毛里求斯,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
毛里求斯,毛里求斯,Mauritius 毛里求斯,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Mauritius 毛里求斯,mauritius 毛里求斯,Mauritius 毛里求斯,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Mexico (墨西哥),mexico (墨西哥),Mexico 墨西哥,N,Dropdown display label,墨西哥,MEXICO,0.0,1.8,OK
Mexico,mexico,Mexico 墨西哥,N,From PDF country/region English label,墨西哥,MEXICO,0.0,1.8,OK
墨西哥,墨西哥,Mexico 墨西哥,N,From PDF country/region Chinese label,墨西哥,MEXICO,0.0,1.8,OK
Mexico 墨西哥,mexico 墨西哥,Mexico 墨西哥,N,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Micronesia (密克罗尼西亚),micronesia (密克罗尼西亚),Micronesia 密克罗尼西亚,G,Dropdown display label,亚洲区,ASIA,0.0,1.8,OK
Micronesia,micronesia,Micronesia 密克罗尼西亚,G,From PDF country/region English label,亚洲区,ASIA,0.0,1.8,OK
密克罗尼西亚,密克罗尼西亚,Micronesia 密克罗尼西亚,G,From PDF country/region Chinese label,亚洲区,ASIA,0.0,1.8,OK
Micronesia 密克罗尼西亚,micronesia 密克罗尼西亚,Micronesia 密克罗尼西亚,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Monaco (摩纳哥),monaco (摩纳哥),Monaco 摩纳哥,M,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Monaco,monaco,Monaco 摩纳哥,M,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
摩纳哥,摩纳哥,Monaco 摩纳哥,M,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Monaco 摩纳哥,monaco 摩纳哥,Monaco 摩纳哥,M,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Mongolia (蒙古),mongolia (蒙古),Mongolia 蒙古,D,Dropdown display label,亚洲区,ASIA,0.0,1.8,OK
Mongolia,mongolia,Mongolia 蒙古,D,From PDF country/region English label,亚洲区,ASIA,0.0,1.8,OK
蒙古,蒙古,Mongolia 蒙古,D,From PDF country/region Chinese label,亚洲区,ASIA,0.0,1.8,OK
Mongolia 蒙古,mongolia 蒙古,Mongolia 蒙古,D,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Monserrat,monserrat,Monserrat,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
Montenegro,montenegro,Montenegro,H,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
Morocco (摩洛哥),morocco (摩洛哥),Morocco 摩洛哥,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Morocco,morocco,Morocco 摩洛哥,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
摩洛哥,摩洛哥,Morocco 摩洛哥,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Morocco 摩洛哥,morocco 摩洛哥,Morocco 摩洛哥,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Mozambique (莫桑比克),mozambique (莫桑比克),Mozambique 莫桑比克,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Mozambique,mozambique,Mozambique 莫桑比克,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
莫桑比克,莫桑比克,Mozambique 莫桑比克,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Mozambique 莫桑比克,mozambique 莫桑比克,Mozambique 莫桑比克,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Namibia (纳米比亚),namibia (纳米比亚),Namibia 纳米比亚,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Namibia,namibia,Namibia 纳米比亚,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
纳米比亚,纳米比亚,Namibia 纳米比亚,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Namibia 纳米比亚,namibia 纳米比亚,Namibia 纳米比亚,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Nepal (尼泊尔),nepal (尼泊尔),Nepal 尼泊尔,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Nepal,nepal,Nepal 尼泊尔,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
尼泊尔,尼泊尔,Nepal 尼泊尔,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Nepal 尼泊尔,nepal 尼泊尔,Nepal 尼泊尔,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Netherlands (荷兰),netherlands (荷兰),Netherlands 荷兰,K,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Netherlands,netherlands,Netherlands 荷兰,K,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
荷兰,荷兰,Netherlands 荷兰,K,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Netherlands 荷兰,netherlands 荷兰,Netherlands 荷兰,K,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Netherlands Antilles,netherlands antilles,Netherlands Antilles,G,From PDF country/region English label,Need Review,Need Review,,1.8,Need Review
New Caledonia (新喀里多尼亚),new caledonia (新喀里多尼亚),New Caledonia 新喀里多尼亚,G,Dropdown display label,亚洲区,ASIA,0.0,1.8,OK
New Caledonia,new caledonia,New Caledonia 新喀里多尼亚,G,From PDF country/region English label,亚洲区,ASIA,0.0,1.8,OK
新喀里多尼亚,新喀里多尼亚,New Caledonia 新喀里多尼亚,G,From PDF country/region Chinese label,亚洲区,ASIA,0.0,1.8,OK
New Caledonia 新喀里多尼亚,new caledonia 新喀里多尼亚,New Caledonia 新喀里多尼亚,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
New Zealand (新西兰),new zealand (新西兰),New Zealand 新西兰,U,Dropdown display label,澳大利亚、新西兰,AUNZ,0.0,1.8,OK
New Zealand,new zealand,New Zealand 新西兰,U,From PDF country/region English label,澳大利亚、新西兰,AUNZ,0.0,1.8,OK
新西兰,新西兰,New Zealand 新西兰,U,From PDF country/region Chinese label,澳大利亚、新西兰,AUNZ,0.0,1.8,OK
New Zealand 新西兰,new zealand 新西兰,New Zealand 新西兰,U,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Nicaragua (尼加拉瓜),nicaragua (尼加拉瓜),Nicaragua 尼加拉瓜,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Nicaragua,nicaragua,Nicaragua 尼加拉瓜,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
尼加拉瓜,尼加拉瓜,Nicaragua 尼加拉瓜,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Nicaragua 尼加拉瓜,nicaragua 尼加拉瓜,Nicaragua 尼加拉瓜,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Niger (尼日尔),niger (尼日尔),Niger 尼日尔,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Niger,niger,Niger 尼日尔,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
尼日尔,尼日尔,Niger 尼日尔,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Niger 尼日尔,niger 尼日尔,Niger 尼日尔,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Nigeria (尼日利亚),nigeria (尼日利亚),Nigeria 尼日利亚,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Nigeria,nigeria,Nigeria 尼日利亚,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
尼日利亚,尼日利亚,Nigeria 尼日利亚,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Nigeria 尼日利亚,nigeria 尼日利亚,Nigeria 尼日利亚,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Northern Mariana Islands (北马利安群岛),northern mariana islands (北马利安群岛),Northern Mariana Islands 北马利安群岛,G,Dropdown display label,亚洲区,ASIA,0.0,1.8,OK
Northern Mariana Islands,northern mariana islands,Northern Mariana Islands 北马利安群岛,G,From PDF country/region English label,亚洲区,ASIA,0.0,1.8,OK
北马利安群岛,北马利安群岛,Northern Mariana Islands 北马利安群岛,G,From PDF country/region Chinese label,亚洲区,ASIA,0.0,1.8,OK
Northern Mariana Islands 北马利安群岛,northern mariana islands 北马利安群岛,Northern Mariana Islands 北马利安群岛,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Norway (挪威),norway (挪威),Norway 挪威,M,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Norway,norway,Norway 挪威,M,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
挪威,挪威,Norway 挪威,M,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Norway 挪威,norway 挪威,Norway 挪威,M,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Oman (阿曼),oman (阿曼),Oman 阿曼,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Oman,oman,Oman 阿曼,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
阿曼,阿曼,Oman 阿曼,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Oman 阿曼,oman 阿曼,Oman 阿曼,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Pakistan (巴基斯坦),pakistan (巴基斯坦),Pakistan 巴基斯坦,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Pakistan,pakistan,Pakistan 巴基斯坦,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
巴基斯坦,巴基斯坦,Pakistan 巴基斯坦,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Pakistan 巴基斯坦,pakistan 巴基斯坦,Pakistan 巴基斯坦,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Palau (帕劳),palau (帕劳),Palau 帕劳,G,Dropdown display label,亚洲区,ASIA,0.0,1.8,OK
Palau,palau,Palau 帕劳,G,From PDF country/region English label,亚洲区,ASIA,0.0,1.8,OK
帕劳,帕劳,Palau 帕劳,G,From PDF country/region Chinese label,亚洲区,ASIA,0.0,1.8,OK
Palau 帕劳,palau 帕劳,Palau 帕劳,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Palestine Autonomous (巴勒斯坦自治区),palestine autonomous (巴勒斯坦自治区),Palestine Autonomous 巴勒斯坦自治区,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Palestine Autonomous,palestine autonomous,Palestine Autonomous 巴勒斯坦自治区,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
巴勒斯坦自治区,巴勒斯坦自治区,Palestine Autonomous 巴勒斯坦自治区,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Palestine Autonomous 巴勒斯坦自治区,palestine autonomous 巴勒斯坦自治区,Palestine Autonomous 巴勒斯坦自治区,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Panama (巴拿马),panama (巴拿马),Panama 巴拿马,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Panama,panama,Panama 巴拿马,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
巴拿马,巴拿马,Panama 巴拿马,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Panama 巴拿马,panama 巴拿马,Panama 巴拿马,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Papua New Guinea (巴布亚新几内亚),papua new guinea (巴布亚新几内亚),Papua New Guinea 巴布亚新几内亚,G,Dropdown display label,亚洲区,ASIA,0.0,1.8,OK
Papua New Guinea,papua new guinea,Papua New Guinea 巴布亚新几内亚,G,From PDF country/region English label,亚洲区,ASIA,0.0,1.8,OK
巴布亚新几内亚,巴布亚新几内亚,Papua New Guinea 巴布亚新几内亚,G,From PDF country/region Chinese label,亚洲区,ASIA,0.0,1.8,OK
Papua New Guinea 巴布亚新几内亚,papua new guinea 巴布亚新几内亚,Papua New Guinea 巴布亚新几内亚,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Paraguay (巴拉圭),paraguay (巴拉圭),Paraguay 巴拉圭,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Paraguay,paraguay,Paraguay 巴拉圭,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
巴拉圭,巴拉圭,Paraguay 巴拉圭,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Paraguay 巴拉圭,paraguay 巴拉圭,Paraguay 巴拉圭,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Peru (秘鲁),peru (秘鲁),Peru 秘鲁,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Peru,peru,Peru 秘鲁,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
秘鲁,秘鲁,Peru 秘鲁,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Peru 秘鲁,peru 秘鲁,Peru 秘鲁,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Phillipines,phillipines,Phillipines,S,From PDF country/region English label,亚洲区,ASIA,0.0,1.8,OK
Poland (波兰),poland (波兰),Poland 波兰,F,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Poland,poland,Poland 波兰,F,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
波兰,波兰,Poland 波兰,F,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Poland 波兰,poland 波兰,Poland 波兰,F,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Portugal (葡萄牙),portugal (葡萄牙),Portugal 葡萄牙,M,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Portugal,portugal,Portugal 葡萄牙,M,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
葡萄牙,葡萄牙,Portugal 葡萄牙,M,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Portugal 葡萄牙,portugal 葡萄牙,Portugal 葡萄牙,M,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Puerto Rico (波多黎各),puerto rico (波多黎各),Puerto Rico 波多黎各,2,Dropdown display label,美国和波多黎各,US_PR,0.0,1.8,OK
Puerto Rico,puerto rico,Puerto Rico 波多黎各,2,From PDF country/region English label,美国和波多黎各,US_PR,0.0,1.8,OK
波多黎各,波多黎各,Puerto Rico 波多黎各,2,From PDF country/region Chinese label,美国和波多黎各,US_PR,0.0,1.8,OK
Puerto Rico 波多黎各,puerto rico 波多黎各,Puerto Rico 波多黎各,2,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Qatar (卡塔尔),qatar (卡塔尔),Qatar 卡塔尔,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Qatar,qatar,Qatar 卡塔尔,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
卡塔尔,卡塔尔,Qatar 卡塔尔,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Qatar 卡塔尔,qatar 卡塔尔,Qatar 卡塔尔,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Republic of Moldova,republic of moldova,Republic of Moldova,H,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
Romania (罗马尼亚),romania (罗马尼亚),Romania 罗马尼亚,F,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Romania,romania,Romania 罗马尼亚,F,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
罗马尼亚,罗马尼亚,Romania 罗马尼亚,F,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Romania 罗马尼亚,romania 罗马尼亚,Romania 罗马尼亚,F,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Russian Federation,russian federation,Russian Federation,M,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
Rwanda (卢旺达),rwanda (卢旺达),Rwanda 卢旺达,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Rwanda,rwanda,Rwanda 卢旺达,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
卢旺达,卢旺达,Rwanda 卢旺达,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Rwanda 卢旺达,rwanda 卢旺达,Rwanda 卢旺达,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Réunion,réunion,Réunion,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Saint Lucia (圣路西亚岛),saint lucia (圣路西亚岛),Saint Lucia 圣路西亚岛,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Saint Lucia,saint lucia,Saint Lucia 圣路西亚岛,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
圣路西亚岛,圣路西亚岛,Saint Lucia 圣路西亚岛,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Saint Lucia 圣路西亚岛,saint lucia 圣路西亚岛,Saint Lucia 圣路西亚岛,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Samoa (萨摩亚),samoa (萨摩亚),Samoa 萨摩亚,G,Dropdown display label,亚洲区,ASIA,0.0,1.8,OK
Samoa,samoa,Samoa 萨摩亚,G,From PDF country/region English label,亚洲区,ASIA,0.0,1.8,OK
萨摩亚,萨摩亚,Samoa 萨摩亚,G,From PDF country/region Chinese label,亚洲区,ASIA,0.0,1.8,OK
Samoa 萨摩亚,samoa 萨摩亚,Samoa 萨摩亚,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Saudi Arabia (沙特阿拉伯),saudi arabia (沙特阿拉伯),Saudi Arabia 沙特阿拉伯,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Saudi Arabia,saudi arabia,Saudi Arabia 沙特阿拉伯,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
沙特阿拉伯,沙特阿拉伯,Saudi Arabia 沙特阿拉伯,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Saudi Arabia 沙特阿拉伯,saudi arabia 沙特阿拉伯,Saudi Arabia 沙特阿拉伯,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Senegal (塞内加尔),senegal (塞内加尔),Senegal 塞内加尔,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Senegal,senegal,Senegal 塞内加尔,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
塞内加尔,塞内加尔,Senegal 塞内加尔,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
